obj	manifest_rows	verified	port_status_only	external	in_progress	unresolved_engine	untracked
apsVFC.o	3	3	0	0	0	0	0
apsVertexBuffer.o	13	2	11	0	0	0	0
bdAddr.obj	19	10	9	0	0	0	0
bdAddressMap-xbox.obj	7	4	3	0	0	0	0
bdAlignedOffsetMemory.obj	4	3	1	0	0	0	0
bdBitBuffer.obj	41	20	21	0	0	0	0
bdBitOperations.obj	4	0	4	0	0	0	0
bdByteBuffer.obj	5	4	1	0	0	0	0
bdBytePacker.obj	11	0	11	0	0	0	0
bdChunk.obj	9	7	2	0	0	0	0
bdCommonAddr-xbox.obj	28	9	19	0	0	0	0
bdConnection.obj	35	16	19	0	0	0	0
bdConnectionListener.obj	5	1	4	0	0	0	0
bdConnectionStatistics.obj	16	9	7	0	0	0	0
bdConnectionStore.obj	87	20	67	0	0	0	0
bdCookie.obj	12	11	1	0	0	0	0
bdCookieAckChunk.obj	8	6	2	0	0	0	0
bdCookieEchoChunk.obj	14	6	8	0	0	0	0
bdCore.obj	12	9	3	0	0	0	0
bdDataChunk.obj	20	12	8	0	0	0	0
bdDiscoveryClient.obj	35	15	20	0	0	0	0
bdDiscoveryListener.obj	7	6	1	0	0	0	0
bdDiscoveryServer.obj	9	7	2	0	0	0	0
bdDispatchInterceptor.obj	4	4	0	0	0	0	0
bdDispatcher.obj	17	6	11	0	0	0	0
bdGameInfo.obj	19	11	8	0	0	0	0
bdGameInfoFactory.obj	6	1	5	0	0	0	0
bdHMac.obj	1	0	1	0	0	0	0
bdHMacSHA1.obj	9	0	9	0	0	0	0
bdHeartbeatAckChunk.obj	8	6	2	0	0	0	0
bdHeartbeatChunk.obj	8	6	2	0	0	0	0
bdInAddr.obj	5	1	4	0	0	0	0
bdInetAddr.obj	25	16	9	0	0	0	0
bdInitAckChunk.obj	15	9	6	0	0	0	0
bdInitChunk.obj	11	10	1	0	0	0	0
bdLog.obj	15	1	14	0	0	0	0
bdLogChannel.obj	48	1	47	0	0	0	0
bdLogSubscriber.obj	5	4	1	0	0	0	0
bdLoopbackConnection.obj	37	18	19	0	0	0	0
bdMallocMemory.obj	6	3	3	0	0	0	0
bdMemory.obj	23	0	23	0	0	0	0
bdMessage.obj	25	12	13	0	0	0	0
bdMutex.obj	4	4	0	0	0	0	0
bdNet-xbox.obj	49	12	37	0	0	0	0
bdPacket.obj	32	9	23	0	0	0	0
bdPlatformMutex-xbox.obj	4	0	4	0	0	0	0
bdPlatformSocket-win32.obj	8	4	4	0	0	0	0
bdPlatformSocket.obj	5	4	1	0	0	0	0
bdPlatformTiming-xbox.obj	5	5	0	0	0	0	0
bdPlatformTrulyRandom-xbox.obj	1	0	1	0	0	0	0
bdQoSProbe-xbox.obj	54	13	41	0	0	0	0
bdQoSProbeListener.obj	4	4	0	0	0	0	0
bdRandom.obj	7	0	7	0	0	0	0
bdReceivedMessage.obj	4	3	1	0	0	0	0
bdReferencable.obj	1	1	0	0	0	0	0
bdReliableReceiveWindow.obj	19	7	12	0	0	0	0
bdReliableSendWindow.obj	24	10	14	0	0	0	0
bdSAckChunk.obj	26	11	15	0	0	0	0
bdSecurityKey-xbox.obj	6	6	0	0	0	0	0
bdSequenceNumber.obj	14	14	0	0	0	0	0
bdSession.obj	169	51	118	0	0	0	0
bdSessionHandler.obj	5	5	0	0	0	0	0
bdSessionInfo.obj	3	0	3	0	0	0	0
bdSessionInterceptor.obj	4	4	0	0	0	0	0
bdSessionListener.obj	12	9	3	0	0	0	0
bdShortTimer.obj	4	4	0	0	0	0	0
bdShutdownAckChunk.obj	8	6	2	0	0	0	0
bdShutdownChunk.obj	8	6	2	0	0	0	0
bdShutdownCompleteChunk.obj	8	6	2	0	0	0	0
bdSocket.obj	12	9	3	0	0	0	0
bdSocketRouter-xbox.obj	25	13	12	0	0	0	0
bdStopwatch.obj	7	6	1	0	0	0	0
bdString.obj	30	5	25	0	0	0	0
bdTrulyRandom.obj	3	1	2	0	0	0	0
bdUnicastConnection.obj	152	36	116	0	0	0	0
bdUnreliableReceiveWindow.obj	7	6	1	0	0	0	0
bdUnreliableSendWindow.obj	32	18	14	0	0	0	0
cdAirplaneMetalShader.o	21	9	12	0	0	0	0
cdBackgroundShader.o	24	11	13	0	0	0	0
cdCharShader.o	24	9	15	0	0	0	0
cdCharSpecularShader.o	24	9	15	0	0	0	0
cdDebugShader.o	26	13	13	0	0	0	0
cdDebugVertexDef.o	7	7	0	0	0	0	0
cdDecalShader.o	22	10	12	0	0	0	0
cdDynamicDecalShader.o	37	10	27	0	0	0	0
cdDynamicDecalVertexDef.o	2	1	1	0	0	0	0
cdFlagShader.o	42	10	32	0	0	0	0
cdGlassShader.o	25	10	15	0	0	0	0
cdGlowShader.o	50	9	41	0	0	0	0
cdGunShader.o	24	10	14	0	0	0	0
cdGunSightShader.o	22	12	10	0	0	0	0
cdGunSightSpecularShader.o	22	10	12	0	0	0	0
cdHeatHazeShader.o	20	4	16	0	0	0	0
cdOceanGlobals.o	19	15	4	0	0	0	0
cdOceanShader.o	23	9	14	0	0	0	0
cdPrelitShader.o	25	9	16	0	0	0	0
cdPropellerShader.o	22	10	12	0	0	0	0
cdRiverShader.o	37	19	18	0	0	0	0
cdScratchShader.o	46	16	30	0	0	0	0
cdScratchVertexDef.o	2	2	0	0	0	0	0
cdSimpleAlphaShader.o	31	13	18	0	0	0	0
cdSimpleColorShader.o	13	9	4	0	0	0	0
cdSimpleInstance.o	17	13	4	0	0	0	0
cdSimplePrelitShader.o	19	11	8	0	0	0	0
cdSimpleShader.o	17	14	3	0	0	0	0
cdSimpleSpecularShader.o	24	13	11	0	0	0	0
cdSimpleUVAnimShader.o	40	11	29	0	0	0	0
cdSkyShader.o	22	9	13	0	0	0	0
cdWaterShader.o	21	10	11	0	0	0	0
cdWheelMarkShader.o	33	13	20	0	0	0	0
cdWorldBlendPointLitShader.o	34	9	25	0	0	0	0
cdWorldBlendShader.o	31	9	22	0	0	0	0
cdWorldColorShader.o	13	9	4	0	0	0	0
cdWorldPointLitShader.o	31	9	22	0	0	0	0
cdWorldShader.o	27	9	18	0	0	0	0
cdWorldVertexLitShader.o	25	12	13	0	0	0	0
cdl_base.o	2	2	0	0	0	0	0
cdl_common.o	16	5	11	0	0	0	0
cdl_gjk.o	10	0	10	0	0	0	0
cg.o	405	287	118	0	0	0	0
cl.o	341	268	73	0	0	0	0
compress.o	3	3	0	0	0	0	0
controller.o	11	10	1	0	0	0	0
controller_xbox.o	16	12	4	0	0	0	0
core.o	1437	781	656	0	0	0	0
crc32.o	3	3	0	0	0	0	0
deflate.o	12	12	0	0	0	0	0
dlmalloc.o	15	0	15	0	0	0	0
g.o	1470	1470	0	0	0	0	0
game.o	1158	744	414	0	0	0	0
game2.o	1040	276	764	0	0	0	0
game_xbox.o	365	137	228	0	0	0	0
inffast.o	1	1	0	0	0	0	0
inflate.o	11	11	0	0	0	0	0
inftrees.o	1	1	0	0	0	0	0
jobqueue.o	26	14	12	0	0	0	0
jobqueue_legacy.o	11	8	3	0	0	0	0
mem_lib.o	47	37	10	0	0	0	0
mem_lib_platform.o	11	9	2	0	0	0	0
mp.o	1142	874	268	0	0	0	0
mp_actors.o	436	388	48	0	0	0	0
mp_anim_wad.o	430	10	420	0	0	0	0
mp_level_wad.o	1062	36	1026	0	0	0	0
mp_shell.o	835	791	44	0	0	0	0
mp_util_wad.o	1283	368	915	0	0	0	0
mp_xbox.o	77	62	15	0	0	0	0
nal_anim.o	29	12	17	0	0	0	0
nal_cache.o	7	3	4	0	0	0	0
nal_generic.o	68	24	44	0	0	0	0
nal_generic_component.o	36	1	35	0	0	0	0
nal_ik.o	2	0	2	0	0	0	0
nal_init.o	899	41	858	0	0	0	0
nal_initlist.o	1	1	0	0	0	0	0
nal_math.o	1	1	0	0	0	0	0
nal_sceneanim.o	10	0	10	0	0	0	0
nal_skeleton.o	10	2	8	0	0	0	0
nal_stream.o	18	0	18	0	0	0	0
nextgen.o	8	0	8	0	0	0	0
nfl_common.o	10	10	0	0	0	0	0
nfl_debug.o	12	12	0	0	0	0	0
nfl_driver.o	4	4	0	0	0	0	0
nfl_system.o	53	51	2	0	0	0	0
nfl_win32_driver.o	9	9	0	0	0	0	0
nfl_xbox_driver.o	1	1	0	0	0	0	0
ngl_aux.o	164	40	124	0	0	0	0
ngl_debug.o	62	46	16	0	0	0	0
ngl_debugdraw.o	11	11	0	0	0	0	0
ngl_dx_buf.o	4	4	0	0	0	0	0
ngl_dx_core.o	43	25	18	0	0	0	0
ngl_dx_debug.o	5	5	0	0	0	0	0
ngl_dx_draw.o	2	1	1	0	0	0	0
ngl_dx_filters.o	28	18	10	0	0	0	0
ngl_dx_font.o	2	2	0	0	0	0	0
ngl_dx_fsaa.o	2	1	1	0	0	0	0
ngl_dx_mesh.o	4	4	0	0	0	0	0
ngl_dx_quad.o	11	3	8	0	0	0	0
ngl_dx_scene.o	27	18	9	0	0	0	0
ngl_dx_scenedump.o	3	3	0	0	0	0	0
ngl_dx_shader.o	18	8	10	0	0	0	0
ngl_dx_state.o	5	5	0	0	0	0	0
ngl_dx_tex_create.o	17	11	6	0	0	0	0
ngl_dx_texture.o	17	12	5	0	0	0	0
ngl_font.o	27	25	2	0	0	0	0
ngl_gpu.o	32	17	15	0	0	0	0
ngl_gpu_debug.o	4	2	2	0	0	0	0
ngl_gpu_meshedit.o	14	12	2	0	0	0	0
ngl_gpu_texture.o	17	0	17	0	0	0	0
ngl_internal.o	29	24	5	0	0	0	0
ngl_lighting.o	41	22	19	0	0	0	0
ngl_mesh.o	33	19	14	0	0	0	0
ngl_meshedit.o	9	9	0	0	0	0	0
ngl_morph.o	12	10	2	0	0	0	0
ngl_quad.o	20	20	0	0	0	0	0
ngl_scene.o	150	73	77	0	0	0	0
ngl_scenedump.o	7	7	0	0	0	0	0
ngl_texture.o	11	9	2	0	0	0	0
ngl_xb_internal.o	2	2	0	0	0	0	0
ngl_xb_palette.o	13	9	4	0	0	0	0
ngl_xb_tex_load.o	2	1	1	0	0	0	0
nslAram.o	9	9	0	0	0	0	0
nslCompat.o	21	21	0	0	0	0	0
nslDriverXBOXDSOUND.o	56	13	43	0	0	0	0
nslGroup.o	8	8	0	0	0	0	0
nslInit.o	7	7	0	0	0	0	0
nslListener.o	7	7	0	0	0	0	0
nslMaster.o	16	16	0	0	0	0	0
nslMemory.o	2	2	0	0	0	0	0
nslPriority.o	7	7	0	0	0	0	0
nslSource.o	69	68	1	0	0	0	0
nslUpdate.o	2	2	0	0	0	0	0
nslVoice.o	5	5	0	0	0	0	0
nslWave.o	15	15	0	0	0	0	0
nslWaveBank.o	48	48	0	0	0	0	0
nslWaveBankFixup.o	1	1	0	0	0	0	0
nslWaveBankLoader.o	5	5	0	0	0	0	0
nslWaveBankSort.o	3	3	0	0	0	0	0
nvl_afmv.o	32	19	13	0	0	0	0
nvl_base.o	23	22	1	0	0	0	0
nvl_xbox.o	11	6	5	0	0	0	0
phys_collision.o	24	5	19	0	0	0	0
phys_constraint_solver_multithreaded.o	184	15	169	0	0	0	0
phys_contact_manifold.o	26	7	19	0	0	0	0
phys_gjk.o	37	9	28	0	0	0	0
phys_util.o	11	0	11	0	0	0	0
physics.o	747	313	434	0	0	0	0
physics_system.o	313	18	295	0	0	0	0
physics_system_internal.o	154	18	136	0	0	0	0
rb_ragdoll_model.o	92	22	70	0	0	0	0
rbc_def_contact.o	14	2	12	0	0	0	0
rbc_def_custom.o	4	2	2	0	0	0	0
rbc_def_generic.o	26	13	13	0	0	0	0
rbc_def_ragdoll.o	38	17	21	0	0	0	0
rbc_def_vehicle.o	46	10	36	0	0	0	0
render.o	1038	1032	6	0	0	0	0
rigid_body.o	13	7	6	0	0	0	0
scr.o	1540	905	635	0	0	0	0
shell.o	2214	1756	458	0	0	0	0
streamer.o	730	345	385	0	0	0	0
sv.o	148	136	12	0	0	0	0
tl_initlist.o	1	1	0	0	0	0	0
tl_instbank.o	9	9	0	0	0	0	0
tl_system.o	25	23	2	0	0	0	0
trees.o	5	5	0	0	0	0	0
tx.o	5	5	0	0	0	0	0
txPath.o	11	11	0	0	0	0	0
txSlotPool.o	15	15	0	0	0	0	0
tx_tl.o	8	8	0	0	0	0	0
uncompr.o	1	1	0	0	0	0	0
unzip.o	18	0	18	0	0	0	0
zutil.o	5	5	0	0	0	0	0
