index	status	map_line
19	VERIFIED	0002:0052f4f0 ?IsEEDefined_specialWeaponChangeClassFlag@@YA?AUbbool@@Ventity@Broc@@@Z 00D1E9F0 f mp_util_wad.o	VERIFIED: IDA 0x0092F4F0 matches guarded GetVal/IsDefined key 0x4C3C14A1 and bbool result
20	FIXED	0002:0052f5a0 ?GetEE_respawnmodel@@YAAAVstring@Broc@@Ventity@2@@Z 00D1EAA0 f mp_util_wad.o	PORTED: added IDA-derived string GetRef and guarded GetVal/IsDefined implementation; reverified against decompile key 0x86F21A11  FIXED: IDA getter disassembly nullEnt fallback added
21	VERIFIED	0002:0052f5f0 ?IsEEDefined_respawnmodel@@YA?AUbbool@@Ventity@Broc@@@Z 00D1EAF0 f mp_util_wad.o	VERIFIED: IDA 0x0092F5F0 guards entity/extended entity, key 0x86F21A11 string GetVal, IsDefined, and bbool result
22	VERIFIED	0002:0052f6f0 ?IsDefined@Broc@@YA_NABVstring@1@@Z 00D1EBF0 f i mp_util_wad.o
23	FIXED	0002:0052f710 ?GetEE_deathmodel@@YAAAVstring@Broc@@Ventity@2@@Z 00D1EC10 f mp_util_wad.o	PORTED: added IDA-derived string GetRef and guarded GetVal/IsDefined implementation; reverified against decompile key 0xEA19FC37  FIXED: IDA getter disassembly nullEnt fallback added
24	VERIFIED	0002:0052f760 ?IsEEDefined_deathmodel@@YA?AUbbool@@Ventity@Broc@@@Z 00D1EC60 f mp_util_wad.o	VERIFIED: IDA 0x0092F760 guards entity/extended entity, key 0xEA19FC37 string GetVal, IsDefined, and bbool result
25	FIXED	0002:0052f860 ?GetEE_punishedTeamKills@@YAAAUbint@@Ventity@Broc@@@Z 00D1ED60 f mp_util_wad.o	VERIFIED: IDA 0x0092F860 matches GetRef key 0x35249286  FIXED: IDA getter disassembly nullEnt fallback added
26	VERIFIED	0002:0052f8b0 ?IsEEDefined_punishedTeamKills@@YA?AUbbool@@Ventity@Broc@@@Z 00D1EDB0 f mp_util_wad.o	VERIFIED: IDA 0x0092F8B0 matches guarded GetVal/IsDefined key 0x35249286 and bbool result
27	FIXED	0002:0052f960 ?GetEE_firstSpectate@@YAAAUbbool@@Ventity@Broc@@@Z 00D1EE60 f mp_util_wad.o	VERIFIED: IDA 0x0092F960 matches GetRef key 0x72013241  FIXED: IDA getter disassembly nullEnt fallback added
28	VERIFIED	0002:0052f9b0 ?IsEEDefined_firstSpectate@@YA?AUbbool@@Ventity@Broc@@@Z 00D1EEB0 f mp_util_wad.o	VERIFIED: IDA 0x0092F9B0 matches guarded GetVal/IsDefined key 0x72013241 and bbool result
29	FIXED	0002:0052fa60 ?GetEE_home_position@@YAAAUvector@Broc@@Ventity@2@@Z 00D1EF60 f mp_util_wad.o	PORTED: reverified against decompile key 0xE42FE83D; vector GetRef/GetVal types match  FIXED: IDA getter disassembly nullEnt fallback added
30	VERIFIED	0002:0052fab0 ?IsEEDefined_home_position@@YA?AUbbool@@Ventity@Broc@@@Z 00D1EFB0 f mp_util_wad.o	VERIFIED: IDA 0x0092FAB0 uses key 0xE42FE83D vector GetVal and IsDefined
31	FIXED	0002:0052fb60 ?GetEE_deathfire@@YAAAVstring@Broc@@Ventity@2@@Z 00D1F060 f mp_util_wad.o	PORTED: added IDA-derived string GetRef and guarded GetVal/IsDefined implementation  FIXED: IDA getter disassembly nullEnt fallback added
32	VERIFIED	0002:0052fbb0 ?IsEEDefined_deathfire@@YA?AUbbool@@Ventity@Broc@@@Z 00D1F0B0 f mp_util_wad.o	VERIFIED: IDA 0x0092FBB0 uses key 0xF790400C string GetVal, IsDefined, and bbool result
33	FIXED	0002:0052fcb0 ?GetEE_waiting@@YAAAUbfloat@@Ventity@Broc@@@Z 00D1F1B0 f mp_util_wad.o	PORTED: reverified against decompile key 0xB24418D3; bfloat GetRef/GetVal types match  FIXED: IDA getter disassembly nullEnt fallback added
34	VERIFIED	0002:0052fd00 ?IsEEDefined_waiting@@YA?AUbbool@@Ventity@Broc@@@Z 00D1F200 f mp_util_wad.o	VERIFIED: IDA 0x0092FD00 uses key 0xB24418D3 bfloat GetVal and IsDefined
35	FIXED	0002:0052fdb0 ?GetEE_last_dropped_time@@YAAAUbint@@Ventity@Broc@@@Z 00D1F2B0 f mp_util_wad.o	PORTED: reverified against decompile key 0x1FA6AD2F; bint GetRef/GetVal types match  FIXED: IDA getter disassembly nullEnt fallback added
36	VERIFIED	0002:0052fe00 ?IsEEDefined_last_dropped_time@@YA?AUbbool@@Ventity@Broc@@@Z 00D1F300 f mp_util_wad.o	VERIFIED: IDA 0x0092FE00 uses key 0x1FA6AD2F bint GetVal and IsDefined
37	FIXED	0002:0052feb0 ?GetEE_flag_in_minefield@@YAAAUbbool@@Ventity@Broc@@@Z 00D1F3B0 f mp_util_wad.o	PORTED: reverified against decompile key 0x3A88015C; bbool GetRef/GetVal types match  FIXED: IDA getter disassembly nullEnt fallback added
38	VERIFIED	0002:0052ff00 ?IsEEDefined_flag_in_minefield@@YA?AUbbool@@Ventity@Broc@@@Z 00D1F400 f mp_util_wad.o	VERIFIED: IDA 0x0092FF00 uses key 0x3A88015C bbool GetVal and IsDefined
39	FIXED	0002:0052ffb0 ?GetEE_index@@YAAAUbint@@Ventity@Broc@@@Z 00D1F4B0 f mp_util_wad.o	PORTED: reverified against decompile key 0x07AA1578; bint GetRef/GetVal types match  FIXED: IDA getter disassembly nullEnt fallback added
40	VERIFIED	0002:00530000 ?IsEEDefined_index@@YA?AUbbool@@Ventity@Broc@@@Z 00D1F500 f mp_util_wad.o	VERIFIED: IDA 0x00930000 uses key 0x07AA1578 bint GetVal and IsDefined
41	FIXED	0002:005300b0 ?GetEE_lastPainSoundTime@@YAAAUbint@@Ventity@Broc@@@Z 00D1F5B0 f mp_util_wad.o	PORTED: reverified against decompile key 0x7654A134; bint GetRef/GetVal types match  FIXED: IDA getter disassembly nullEnt fallback added
42	VERIFIED	0002:00530100 ?IsEEDefined_lastPainSoundTime@@YA?AUbbool@@Ventity@Broc@@@Z 00D1F600 f mp_util_wad.o	VERIFIED: IDA 0x00930100 uses key 0x7654A134 bint GetVal and IsDefined
43	FIXED	0002:005301b0 ?GetEE_audio_ambp@@YAAAVstring@Broc@@Ventity@2@@Z 00D1F6B0 f mp_util_wad.o	PORTED: implemented from IDA decompile key 0xAB157931; source body and nullEnt fallback match IDA disassembly
44	VERIFIED	0002:00530200 ?IsEEDefined_audio_ambp@@YA?AUbbool@@Ventity@Broc@@@Z 00D1F700 f mp_util_wad.o	VERIFIED: IDA 0x00930200 uses key 0xAB157931 string GetVal and IsDefined
45	FIXED	0002:00530300 ?GetEE_holder@@YAAAVentity@Broc@@V12@@Z 00D1F800 f mp_util_wad.o	PORTED: implemented from IDA decompile key 0xFAAE111E; source body and nullEnt fallback match IDA disassembly
46	VERIFIED	0002:00530350 ?IsEEDefined_holder@@YA?AUbbool@@Ventity@Broc@@@Z 00D1F850 f mp_util_wad.o	VERIFIED: IDA 0x00930350 uses key 0xFAAE111E entity GetVal and IsDefined
47	VERIFIED	0002:00530400 ?GetEE_flag@@YAAAVentity@Broc@@V12@@Z 00D1F900 f mp_util_wad.o	VERIFIED: IDA 0x00930400 forwards handle lookup and GetRef with &word_39C6FA
48	VERIFIED	0002:00530450 ?IsEEDefined_flag@@YA?AUbbool@@Ventity@Broc@@@Z 00D1F950 f mp_util_wad.o	VERIFIED: IDA 0x00930450 uses key &word_39C6FA entity GetVal and IsDefined
49	FIXED	0002:00530500 ?GetEE_lastTouch@@YAAAUbint@@Ventity@Broc@@@Z 00D1FA00 f mp_util_wad.o	PORTED: reverified against decompile key 0x54E300B7; bint GetRef/GetVal types match  FIXED: IDA getter disassembly nullEnt fallback added
50	VERIFIED	0002:00530550 ?IsEEDefined_lastTouch@@YA?AUbbool@@Ventity@Broc@@@Z 00D1FA50 f mp_util_wad.o	VERIFIED: IDA 0x00930550 uses key 0x54E300B7 bint GetVal and IsDefined
51	FIXED	0002:00530600 ?GetEE_audio_track_p@@YAAAUbint@@Ventity@Broc@@@Z 00D1FB00 f mp_util_wad.o	PORTED: reverified against decompile key 0x538E9F75; bint GetRef/GetVal types match  FIXED: IDA getter disassembly nullEnt fallback added
52	VERIFIED	0002:00530650 ?IsEEDefined_audio_track_p@@YA?AUbbool@@Ventity@Broc@@@Z 00D1FB50 f mp_util_wad.o	VERIFIED: IDA 0x00930650 uses key 0x538E9F75 bint GetVal and IsDefined
53	FIXED	0002:00530700 ?GetEE_specialWeaponTime@@YAAAUbint@@Ventity@Broc@@@Z 00D1FC00 f mp_util_wad.o	PORTED: reverified against decompile key 0x14D6461A; bint GetRef/GetVal types match  FIXED: IDA getter disassembly nullEnt fallback added
54	VERIFIED	0002:00530750 ?IsEEDefined_specialWeaponTime@@YA?AUbbool@@Ventity@Broc@@@Z 00D1FC50 f mp_util_wad.o	VERIFIED: IDA 0x00930750 uses key 0x14D6461A bint GetVal and IsDefined
55	FIXED	0002:00530800 ?GetEE_autobalance@@YAAAUbbool@@Ventity@Broc@@@Z 00D1FD00 f mp_util_wad.o	PORTED: reverified against decompile key 0xFBCC92DF; bbool GetRef/GetVal types match  FIXED: IDA getter disassembly nullEnt fallback added
56	VERIFIED	0002:00530850 ?IsEEDefined_autobalance@@YA?AUbbool@@Ventity@Broc@@@Z 00D1FD50 f mp_util_wad.o	VERIFIED: IDA 0x00930850 uses key 0xFBCC92DF bbool GetVal and IsDefined
57	VERIFIED	0002:00530900 ?GetEE_goal@@YAAAVentity@Broc@@V12@@Z 00D1FE00 f mp_util_wad.o	VERIFIED: IDA 0x00930900 forwards handle lookup and GetRef with &byte_3A6023
58	VERIFIED	0002:00530950 ?IsEEDefined_goal@@YA?AUbbool@@Ventity@Broc@@@Z 00D1FE50 f mp_util_wad.o	VERIFIED: IDA 0x00930950 uses key &byte_3A6023 entity GetVal and IsDefined
59	FIXED	0002:00530a00 ?GetEE_teamSound@@YAAAUbint@@Ventity@Broc@@@Z 00D1FF00 f mp_util_wad.o  FIXED: IDA getter disassembly nullEnt fallback added
60	VERIFIED	0002:00530a50 ?IsEEDefined_teamSound@@YA?AUbbool@@Ventity@Broc@@@Z 00D1FF50 f mp_util_wad.o	VERIFIED: IDA 0x00930A50 uses key 0x2FCF6330 bint GetVal and IsDefined
61	VERIFIED	0002:00530b00 ?GetEE_trigger@@YAAAVentity@Broc@@V12@@Z 00D20000 f mp_util_wad.o	VERIFIED: IDA 0x00930B00 forwards handle lookup and GetRef key 0xF2F5EAB4
62	VERIFIED	0002:00530b50 ?IsEEDefined_trigger@@YA?AUbbool@@Ventity@Broc@@@Z 00D20050 f mp_util_wad.o	VERIFIED: IDA 0x00930B50 uses key 0xF2F5EAB4 entity GetVal and IsDefined
63	FIXED	0002:00530c00 ?GetEE_message_when_returned@@YAAAUHashStr@@Ventity@Broc@@@Z 00D20100 f mp_util_wad.o  FIXED: IDA getter disassembly nullEnt fallback added
64	VERIFIED	0002:00530c50 ?IsEEDefined_message_when_returned@@YA?AUbbool@@Ventity@Broc@@@Z 00D20150 f mp_util_wad.o	VERIFIED: IDA 0x00930C50 uses key 0x717BB65E HashStr GetVal and IsDefined
65	FIXED	0002:00530d00 ?GetEE_damage_effect@@YAAAUbint@@Ventity@Broc@@@Z 00D20200 f mp_util_wad.o  FIXED: IDA getter disassembly nullEnt fallback added
66	VERIFIED	0002:00530d50 ?IsEEDefined_damage_effect@@YA?AUbbool@@Ventity@Broc@@@Z 00D20250 f mp_util_wad.o	VERIFIED: IDA 0x00930D50 uses key 0x75BFB68B bint GetVal and IsDefined
67	FIXED	0002:00530e00 ?GetEE_spawnTime@@YAAAUbint@@Ventity@Broc@@@Z 00D20300 f mp_util_wad.o  FIXED: IDA getter disassembly nullEnt fallback added
68	VERIFIED	0002:00530e50 ?IsEEDefined_spawnTime@@YA?AUbbool@@Ventity@Broc@@@Z 00D20350 f mp_util_wad.o	VERIFIED: IDA 0x00930E50 uses key 0xF922BE58 bint GetVal and IsDefined
69	FIXED	0002:00530f00 ?GetEE_pickupCaptureDelayTime@@YAAAUbint@@Ventity@Broc@@@Z 00D20400 f mp_util_wad.o  FIXED: IDA getter disassembly nullEnt fallback added
70	VERIFIED	0002:00530f50 ?IsEEDefined_pickupCaptureDelayTime@@YA?AUbbool@@Ventity@Broc@@@Z 00D20450 f mp_util_wad.o	VERIFIED: IDA 0x00930F50 uses key 0x4743187E bint GetVal and IsDefined
71	FIXED	0002:00531000 ?GetEE_flagStart@@YAAAUvector@Broc@@Ventity@2@@Z 00D20500 f mp_util_wad.o  FIXED: IDA getter disassembly nullEnt fallback added
72	VERIFIED	0002:00531050 ?IsEEDefined_flagStart@@YA?AUbbool@@Ventity@Broc@@@Z 00D20550 f mp_util_wad.o	VERIFIED: IDA 0x00931050 uses key 0x38D17CE8 vector GetVal and IsDefined
73	FIXED	0002:00531100 ?GetEE_capAllowedTeam@@YAAAUbint@@Ventity@Broc@@@Z 00D20600 f mp_util_wad.o  FIXED: IDA getter disassembly nullEnt fallback added
74	VERIFIED	0002:00531150 ?IsEEDefined_capAllowedTeam@@YA?AUbbool@@Ventity@Broc@@@Z 00D20650 f mp_util_wad.o	VERIFIED: IDA 0x00931150 uses key 0xF430CD43 bint GetVal and IsDefined
75	FIXED	0002:00531200 ?GetEE_last_touch_time@@YAAAUbint@@Ventity@Broc@@@Z 00D20700 f mp_util_wad.o  FIXED: IDA getter disassembly nullEnt fallback added
76	VERIFIED	0002:00531250 ?IsEEDefined_last_touch_time@@YA?AUbbool@@Ventity@Broc@@@Z 00D20750 f mp_util_wad.o	VERIFIED: IDA 0x00931250 uses key 0xB80289A4 bint GetVal and IsDefined
77	VERIFIED	0002:00531300 ?GetEE_audio_track@@YAAAVstring@Broc@@Ventity@2@@Z 00D20800 f mp_util_wad.o	VERIFIED: IDA 0x00931300 forwards handle lookup and GetRef key 0x0F1F2946
78	VERIFIED	0002:00531350 ?IsEEDefined_audio_track@@YA?AUbbool@@Ventity@Broc@@@Z 00D20850 f mp_util_wad.o	VERIFIED: IDA 0x00931350 uses key 0x0F1F2946 string GetVal and IsDefined
79	FIXED	0002:00531450 ?GetEE_objective_status@@YAAAUbint@@Ventity@Broc@@@Z 00D20950 f mp_util_wad.o  FIXED: IDA getter disassembly nullEnt fallback added
80	VERIFIED	0002:005314a0 ?IsEEDefined_objective_status@@YA?AUbbool@@Ventity@Broc@@@Z 00D209A0 f mp_util_wad.o	VERIFIED: IDA 0x009314A0 uses key 0x36CBF8DE bint GetVal and IsDefined
81	VERIFIED	0002:00531550 ?GetEE_damagelight@@YAAAVstring@Broc@@Ventity@2@@Z 00D20A50 f mp_util_wad.o	VERIFIED: IDA 0x00931550 forwards handle lookup and GetRef key 0xAA4AB8F7
82	VERIFIED	0002:005315a0 ?IsEEDefined_damagelight@@YA?AUbbool@@Ventity@Broc@@@Z 00D20AA0 f mp_util_wad.o	VERIFIED: IDA 0x009315A0 uses key 0xAA4AB8F7 string GetVal and IsDefined
83	FIXED	0002:005316a0 ?GetEE_spawnCount@@YAAAUbint@@Ventity@Broc@@@Z 00D20BA0 f mp_util_wad.o  FIXED: IDA getter disassembly nullEnt fallback added
84	VERIFIED	0002:005316f0 ?IsEEDefined_spawnCount@@YA?AUbbool@@Ventity@Broc@@@Z 00D20BF0 f mp_util_wad.o	VERIFIED: IDA 0x009316F0 uses key 0x1C4A56B2 bint GetVal and IsDefined
85	FIXED	0002:005317a0 ?GetEE_capStatus@@YAAAUbfloat@@Ventity@Broc@@@Z 00D20CA0 f mp_util_wad.o  FIXED: IDA getter disassembly nullEnt fallback added
86	VERIFIED	0002:005317f0 ?IsEEDefined_capStatus@@YA?AUbbool@@Ventity@Broc@@@Z 00D20CF0 f mp_util_wad.o	VERIFIED: IDA 0x009317F0 uses key 0x53377998 bfloat GetVal and IsDefined
87	FIXED	0002:005318a0 ?GetEE_capTeam@@YAAAUbint@@Ventity@Broc@@@Z 00D20DA0 f mp_util_wad.o  FIXED: IDA getter disassembly nullEnt fallback added
88	VERIFIED	0002:005318f0 ?IsEEDefined_capTeam@@YA?AUbbool@@Ventity@Broc@@@Z 00D20DF0 f mp_util_wad.o	VERIFIED: IDA 0x009318F0 uses key 0xAF35F29B bint GetVal and IsDefined
89	FIXED	0002:005319a0 ?GetEE_numDeaths@@YAAAUbint@@Ventity@Broc@@@Z 00D20EA0 f mp_util_wad.o  FIXED: IDA getter disassembly nullEnt fallback added
90	VERIFIED	0002:005319f0 ?IsEEDefined_numDeaths@@YA?AUbbool@@Ventity@Broc@@@Z 00D20EF0 f mp_util_wad.o	VERIFIED: IDA 0x009319F0 uses key 0xBEB96D49 bint GetVal and IsDefined
91	VERIFIED	0002:00531aa0 ?GetEE_reverb@@YAAAVstring@Broc@@Ventity@2@@Z 00D20FA0 f mp_util_wad.o	VERIFIED: IDA 0x00931AA0 forwards handle lookup and GetRef key 0x11523406
92	VERIFIED	0002:00531af0 ?IsEEDefined_reverb@@YA?AUbbool@@Ventity@Broc@@@Z 00D20FF0 f mp_util_wad.o	VERIFIED: IDA 0x00931AF0 uses key 0x11523406 string GetVal and IsDefined
93	FIXED	0002:00531bf0 ?GetEE_killsSinceLastDeath@@YAAAUbint@@Ventity@Broc@@@Z 00D210F0 f mp_util_wad.o  FIXED: IDA getter disassembly nullEnt fallback added
94	VERIFIED	0002:00531c40 ?IsEEDefined_killsSinceLastDeath@@YA?AUbbool@@Ventity@Broc@@@Z 00D21140 f mp_util_wad.o	VERIFIED: IDA 0x00931C40 uses key 0xB8F24ACB bint GetVal and IsDefined
95	FIXED	0002:00531cf0 ?GetEE_home_angles@@YAAAUvector@Broc@@Ventity@2@@Z 00D211F0 f mp_util_wad.o  FIXED: IDA getter disassembly nullEnt fallback added
96	VERIFIED	0002:00531d40 ?IsEEDefined_home_angles@@YA?AUbbool@@Ventity@Broc@@@Z 00D21240 f mp_util_wad.o	VERIFIED: IDA 0x00931D40 uses key 0x385575E2 vector GetVal and IsDefined
97	FIXED	0002:00531df0 ?GetEE_inDeath@@YAAAUbint@@Ventity@Broc@@@Z 00D212F0 f mp_util_wad.o  FIXED: IDA getter disassembly nullEnt fallback added
98	VERIFIED	0002:00531e40 ?IsEEDefined_inDeath@@YA?AUbbool@@Ventity@Broc@@@Z 00D21340 f mp_util_wad.o	VERIFIED: IDA 0x00931E40 uses key 0x9A8500FD bint GetVal and IsDefined
99	FIXED	0002:00531ef0 ?GetEE_sound_handle@@YAAAUbint@@Ventity@Broc@@@Z 00D213F0 f mp_util_wad.o  FIXED: IDA getter disassembly nullEnt fallback added
100	VERIFIED	0002:00531f40 ?IsEEDefined_sound_handle@@YA?AUbbool@@Ventity@Broc@@@Z 00D21440 f mp_util_wad.o	VERIFIED: IDA 0x00931F40 uses key 0x8B17F374 bint GetVal and IsDefined
101	FIXED	0002:00531ff0 ?GetEE_capSpeed@@YAAAUbfloat@@Ventity@Broc@@@Z 00D214F0 f mp_util_wad.o  FIXED: IDA getter disassembly nullEnt fallback added
102	VERIFIED	0002:00532040 ?IsEEDefined_capSpeed@@YA?AUbbool@@Ventity@Broc@@@Z 00D21540 f mp_util_wad.o	VERIFIED: IDA 0x00932040 uses key 0x95E84605 bfloat GetVal and IsDefined
103	VERIFIED	0002:005320f0 ?GetEE_lastspawnpoint@@YAAAVentity@Broc@@V12@@Z 00D215F0 f mp_util_wad.o	VERIFIED: IDA 0x009320F0 forwards handle lookup and GetRef key 0x9AA56007
104	VERIFIED	0002:00532140 ?IsEEDefined_lastspawnpoint@@YA?AUbbool@@Ventity@Broc@@@Z 00D21640 f mp_util_wad.o	VERIFIED: IDA 0x00932140 uses key 0x9AA56007 entity GetVal and IsDefined
105	FIXED	0002:005321f0 ?GetEE_setting_up_hq@@YAAAUbint@@Ventity@Broc@@@Z 00D216F0 f mp_util_wad.o  FIXED: IDA getter disassembly nullEnt fallback added
106	VERIFIED	0002:00532240 ?IsEEDefined_setting_up_hq@@YA?AUbbool@@Ventity@Broc@@@Z 00D21740 f mp_util_wad.o	VERIFIED: IDA 0x00932240 uses key 0x64A1977A bint GetVal and IsDefined
107	VERIFIED	0002:005322f0 ?GetEE_weaponstr@@YAAAVstring@Broc@@Ventity@2@@Z 00D217F0 f mp_util_wad.o	VERIFIED: IDA 0x009322F0 forwards handle lookup and GetRef key 0x93FB3A03
108	VERIFIED	0002:00532340 ?IsEEDefined_weaponstr@@YA?AUbbool@@Ventity@Broc@@@Z 00D21840 f mp_util_wad.o	VERIFIED: IDA 0x00932340 uses key 0x93FB3A03 string GetVal and IsDefined
109	VERIFIED	0002:00532440 ?GetEE_damagecritical@@YAAAVstring@Broc@@Ventity@2@@Z 00D21940 f mp_util_wad.o	VERIFIED: IDA 0x00932440 forwards handle lookup and GetRef key 0xCF71F1AA
110	VERIFIED	0002:00532490 ?IsEEDefined_damagecritical@@YA?AUbbool@@Ventity@Broc@@@Z 00D21990 f mp_util_wad.o	VERIFIED: IDA 0x00932490 uses key 0xCF71F1AA string GetVal and IsDefined
111	FIXED	0002:00532590 ?GetEE_spawnscore@@YAAAUbint@@Ventity@Broc@@@Z 00D21A90 f mp_util_wad.o  FIXED: IDA getter disassembly nullEnt fallback added
112	VERIFIED	0002:005325e0 ?IsEEDefined_spawnscore@@YA?AUbbool@@Ventity@Broc@@@Z 00D21AE0 f mp_util_wad.o	VERIFIED: IDA 0x009325E0 uses key 0x1D653125 bint GetVal and IsDefined
113	VERIFIED	0002:00532690 ?GetEE_deathfx@@YAAAVstring@Broc@@Ventity@2@@Z 00D21B90 f mp_util_wad.o	VERIFIED: IDA 0x00932690 forwards handle lookup and GetRef key 0x04756FC4
114	VERIFIED	0002:005326e0 ?IsEEDefined_deathfx@@YA?AUbbool@@Ventity@Broc@@@Z 00D21BE0 f mp_util_wad.o	VERIFIED: IDA 0x009326E0 uses key 0x04756FC4 string GetVal and IsDefined
115	FIXED	0002:005327e0 ?GetEE_bTeamKilledWithArtillery@@YAAAUbbool@@Ventity@Broc@@@Z 00D21CE0 f mp_util_wad.o  FIXED: IDA getter disassembly nullEnt fallback added
116	VERIFIED	0002:00532830 ?IsEEDefined_bTeamKilledWithArtillery@@YA?AUbbool@@Ventity@Broc@@@Z 00D21D30 f mp_util_wad.o	VERIFIED: IDA 0x00932830 uses key 0x4D2B5732 bbool GetVal and IsDefined
117	VERIFIED	0002:005328e0 ?GetEE_damageheavy@@YAAAVstring@Broc@@Ventity@2@@Z 00D21DE0 f mp_util_wad.o	VERIFIED: IDA 0x009328E0 forwards handle lookup and GetRef key 0xAA000DBC
118	VERIFIED	0002:00532930 ?IsEEDefined_damageheavy@@YA?AUbbool@@Ventity@Broc@@@Z 00D21E30 f mp_util_wad.o	VERIFIED: IDA 0x00932930 uses key 0xAA000DBC string GetVal and IsDefined
119	FIXED	0002:00532a30 ?GetEE_cappedSinceLastDeath@@YAAAUbint@@Ventity@Broc@@@Z 00D21F30 f mp_util_wad.o  FIXED: IDA getter disassembly nullEnt fallback added
120	VERIFIED	0002:00532a80 ?IsEEDefined_cappedSinceLastDeath@@YA?AUbbool@@Ventity@Broc@@@Z 00D21F80 f mp_util_wad.o	VERIFIED: IDA 0x00932A80 uses key 0xAAF03B39 bint GetVal and IsDefined
121	FIXED	0002:00532b30 ?GetEE_isInsideFollowClient@@YAAAUbint@@Ventity@Broc@@@Z 00D22030 f mp_util_wad.o  FIXED: IDA getter disassembly nullEnt fallback added
122	VERIFIED	0002:00532b80 ?IsEEDefined_isInsideFollowClient@@YA?AUbbool@@Ventity@Broc@@@Z 00D22080 f mp_util_wad.o	VERIFIED: IDA 0x00932B80 uses key 0x2D6AF62A bint GetVal and IsDefined
123	FIXED	0002:00532c30 ?GetEE_returnedSinceLastDeath@@YAAAUbint@@Ventity@Broc@@@Z 00D22130 f mp_util_wad.o  FIXED: IDA getter disassembly nullEnt fallback added
